type_car,seats,doors,seast,объем_двигателя,мощность_двигателя,крутящий_момент_двигателя,количество_ступеней,разгон_до_сотни,максимальная_скорость,расход_топлива_город,расход_топлива_трасса,расход_топлива_смешанный,дорожный_просвет,длина_машины,ширина_машины,высота_машины,колёсная_база,объем_багажника,объём_багажника_максимальный,объём_топливного_бака,масса_автомобиля,привод_задний,привод_передний,привод_полный,model 2 Series,model 2 Series Gran Coupe,model 2008,model 3 GT,model 3 Series Sedan,model 3008,model 4 Series,model 408,model 5 Series Sedan,model 5 Series Sedan (2016),model 5008,model 6,model 6 GT,model 7 Series Sedan,model 8 Series,model 8 Series Cabrio,model 8 Series Gran Coupe,model A,model A AMG,model A Sedan,model A3 Sedan,model A3 Sportback,model A4,model A4 Allroad,model A4 Avant,model A5,model A5 Sportback,model A6,model A6 Avant,model A7 Sportback,model A8,model ASX,model Alphard,model Amarok,model Arkana,model Arteon,model C AMG,model C AMG Сoupe,model C Coupe,model C Sedan,model C-HR,model C3 Aircross,model C4 Sedan,model C5 Aircross,model CLA,model CLS,model CR-V,model CT6,model CX-30,model CX-5,model CX-9,model Caddy,model Caddy Maxi,model Camry,model Ceed,model Ceed SW,model Cerato,model Cobalt,model Compass,model Corolla,model Creta,model Defender 110,model Defender 90,model Discovery,model Discovery Sport,model Duster,model Duster (2011),model E Coupe,model E Sedan,model E-Pace,model ES,model Eclipse Cross,model Elantra,model Escalade,model F-Pace,model F-Type,model F-Type Coupe,model Forester,model Fortuner,model G 5D,model G 63 AMG,model G70,model G80,model G90,model GLA,model GLA AMG,model GLB,model GLC,model GLC Coupe,model GLE,model GLE AMG,model GLE Coupe,model GLE Coupe AMG,model GLS,model GT AMG,model GT AMG Liftback,model GV80,model GX,model Grand Cherokee,model Grand Cherokee SRT8,model Grandland X,model H-1,model Hiace,model Highlander,model Hilux,model I-Pace,model I8,model Jetta,model Jimny,model K5,model K900,model Kaptur,model Karoq,model Kodiaq,model Kodiaq Scout,model L200,model LC 500,model LS,model LX,model Land Cruiser 200,model Land Cruiser Prado,model Legacy,model Logan,model Logan Stepway,model M2,model M4,model M5,model M8 Cabrio,model M8 Coupe,model M8 Gran Coupe,model Maybach GLS,model Mohave,model Multivan,model Murano,model NX,model Nexia,model Octavia,model Octavia (2017),model Octavia Combi,model Optima,model Outback,model Outlander,model Pajero Sport,model Palisade,model Passat,model Picanto 5D,model Pilot,model Polo Liftback,model Polo Sedan (2010),model ProCeed,model Q3,model Q3 Sportback,model Q5,model Q50,model Q60,model Q7,model Q8,model QX50,model QX60,model QX80,model Qashqai,model RAV4,model RX,model Range Rover,model Range Rover Evoque,model Range Rover Sport,model Range Rover Velar,model Rapid,model Rapid (2017),model Renegade,model Rio,model Rio X,model Rio X-Line (2017),model S,model S6,model S60,model S7 Sportback,model S8,model S90,model SQ5,model SQ7,model SQ8,model SX4,model Sandero,model Sandero Stepway,model Santa Fe,model Santa Fe (2018),model Seltos,model Solaris,model Sonata,model Sorento,model Soul,model SpaceTourer,model Spark,model Sportage,model Stinger,model Stinger (2017),model Superb,model Superb Combi,model Tahoe,model Teramont,model Terrano,model Tiguan,model Tiguan (2016),model Touareg,model Traveller,model Traverse,model Tucson,model UX,model V,model V60 Cross Country,model V90 Cross Country,model Vitara,model WRX,model WRX STI,model Wrangler 2D,model Wrangler 4D,model X,model X-Trail,model X1,model X2,model X3,model X3 M,model X4,model X4 M,model X5,model X5 M,model X6,model X6 M,model X7,model XC40,model XC60,model XC90,model XCeed,model XE,model XF,model XJ,model XT5,model XT6,model XV,model Z4 Roadster,model Zafira Life,model e-tron,model i3,model i30 N,model i8 Cabrio,brand Audi,brand BMW,brand Cadillac,brand Chevrolet,brand Citroen,brand Genesis,brand Honda,brand Hyundai,brand Infiniti,brand Jaguar,brand Jeep,brand KIA,brand Land Rover,brand Lexus,brand Mazda,brand Mercedes-Benz,brand Mitsubishi,brand Nissan,brand Opel,brand Peugeot,brand Renault,brand Skoda,brand Subaru,brand Suzuki,brand Toyota,brand Volkswagen,brand Volvo,тип_двигателя бензиновый,тип_двигателя гибридный,тип_двигателя дизельный,тип_двигателя электрический,тип_коробки_передач автоматическая,тип_коробки_передач вариатор,тип_коробки_передач механическая,тип_коробки_передач роботизированная
Седан класса C,5,4.0,5.0,1395.0,150.0,250.0,7.0,8.2,224.0,5.9,4.1,4.8,165.0,4458.0,1796.0,1416.0,2637.0,425.0,880.0,50.0,1320.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Седан класса C,5,4.0,5.0,1395.0,150.0,250.0,7.0,8.2,224.0,5.9,4.1,4.8,165.0,4458.0,1796.0,1416.0,2637.0,425.0,880.0,50.0,1320.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Седан класса C,5,4.0,5.0,1984.0,190.0,320.0,7.0,6.8,250.0,7.2,4.7,5.6,165.0,4458.0,1796.0,1416.0,2637.0,425.0,880.0,50.0,1395.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Седан класса C,5,4.0,5.0,1984.0,190.0,320.0,7.0,6.2,242.0,7.2,4.8,5.7,165.0,4458.0,1796.0,1416.0,2637.0,390.0,845.0,55.0,1465.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Седан класса C,5,4.0,5.0,1984.0,190.0,320.0,7.0,6.8,242.0,7.2,4.7,5.6,165.0,4458.0,1796.0,1416.0,2637.0,425.0,880.0,50.0,1395.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Седан класса C,5,4.0,5.0,1984.0,190.0,320.0,7.0,6.2,242.0,7.2,4.8,5.7,165.0,4458.0,1796.0,1416.0,2637.0,390.0,845.0,55.0,1465.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Хэтчбек класса B,5,5.0,5.0,1395.0,150.0,250.0,7.0,8.2,220.0,6.0,4.3,4.9,140.0,4313.0,1785.0,1426.0,2637.0,380.0,1220.0,50.0,1315.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Хэтчбек класса B,5,5.0,5.0,1395.0,150.0,250.0,7.0,8.2,220.0,6.0,4.3,4.9,140.0,4313.0,1785.0,1426.0,2637.0,380.0,1220.0,50.0,1315.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Хэтчбек класса B,5,5.0,5.0,1984.0,190.0,320.0,7.0,6.8,244.0,7.2,4.8,5.7,140.0,4313.0,1785.0,1426.0,2637.0,380.0,1220.0,50.0,1390.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Хэтчбек класса B,5,5.0,5.0,1984.0,190.0,320.0,7.0,6.2,236.0,7.2,4.9,5.8,140.0,4313.0,1785.0,1426.0,2637.0,340.0,1180.0,55.0,1460.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
